area,fold_change,pval_noshock_vs_demonstrator
Ventral tegmental nucleus,1.0000000000000002,0.4744737534716954
Anterior tegmental nucleus,0.8636363636363638,0.5
Lateral terminal nucleus of the accessory optic tract,0.8651685393258425,0.2807006400687665
Dorsal terminal nucleus of the accessory optic tract,,
Medial terminal nucleus of the accessory optic tract,,
Substantia nigra lateral part,,0.0010825146665191
Substantia nigra compact part,1.1729135432283857,0.5
Pedunculopontine nucleus,0.9858106536403818,0.4491633936346191
Interfascicular nucleus raphe,1.6675191815856778,0.1686862719693794
Interpeduncular nucleus,1.6054569077522738,0.2028586804772258
Rostral linear nucleus raphe,2.106382978723404,0.1436774651612241
Central linear nucleus raphe,1.6562835660580022,0.3271827493712019
Dorsal nucleus raphe,3.582089552238806,0.0790121423646803
